"","Date","TrapID","New_Recap","Species","Sex","Age","Weight","Comments","NA","NA","NA","NA","NA","Pregnant","Lactating","Breeding"
"33",2011-05-23,"2E","Recapture","Peromyscus maniculatus","Female","Adult",17,"Agg=2, Hair, added 6809, forgot existing Tag #,Rep_Con: NA,Tag1: NA,Tag2: ???",NA,NA,NA,NA,NA,NA,NA,NA
"34",2011-05-23,"2G","Recapture","Myodes gapperi","Male","Adult",17,"Agg=2, Hair, added 6951,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"35",2011-05-23,"2I","New","Peromyscus maniculatus","Female","Adult",18.5,"Agg=3, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"36",2011-05-23,"2J","Recapture","Peromyscus maniculatus","Female","Adult",24,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"37",2011-05-23,"2K","New","Myodes gapperi","Male","Adult",18,"Agg=2, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"38",2011-05-23,"2L","New","Peromyscus maniculatus","Female","Adult",21,"Agg=2, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"39",2011-05-23,"1T","Recapture","Peromyscus maniculatus","Female","Adult",17,"Agg=1, ears ripped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"40",2011-05-23,"1R","New","Peromyscus maniculatus","Female","Adult",15.5,"Agg=2, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"41",2011-05-23,"1O","Recapture","Peromyscus maniculatus","Female","Adult",15.5,"Agg=2, ears ripped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"42",2011-05-23,"1A","Recapture","Peromyscus maniculatus","Female","Adult",21,"Agg=2, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"43",2011-05-23,"1C","Recapture","Peromyscus maniculatus","Female","Adult",17,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"44",2011-05-23,"1D","Recapture","Peromyscus maniculatus","Female","Adult",21.5,"Agg=1, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"45",2011-05-23,"1E","New","Myodes gapperi",NA,"Adult",17,"Escaped, Hair missing,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"46",2011-05-23,"1G","New","Peromyscus maniculatus","Female","Adult",18,"Agg=3, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"47",2011-05-23,"1J","Recapture","Peromyscus maniculatus","Male","Adult",19.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"48",2011-05-23,"1K","Recapture","Peromyscus maniculatus","Female","Adult",23,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"49",2011-05-23,"1N","Recapture","Peromyscus maniculatus","Female","Adult",19.5,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"50",2011-05-25,"2B","Recapture","Peromyscus maniculatus","Female","Adult",22,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"51",2011-05-25,"2C","Recapture","Peromyscus maniculatus","Female","Adult",17.5,"Agg=4,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"52",2011-05-25,"2D","Recapture","Peromyscus maniculatus","Female","Adult",17.5,"Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"53",2011-05-25,"2E","Recapture","Peromyscus maniculatus","Female","Adult",19,"Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"54",2011-05-25,"2G","Recapture","Myodes gapperi","Female","Adult",14.5,"Agg=2, New Tag:6939,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"55",2011-05-25,"1M","Recapture","Peromyscus maniculatus","Male","Adult",20.5,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"56",2011-05-25,"1O","Recapture","Peromyscus maniculatus","Female","Adult",22,"Agg=4,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"57",2011-05-25,"1Q","Recapture","Peromyscus maniculatus","Female","Adult",16,"Agg=4,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"58",2011-05-25,"1S","Recapture","Peromyscus maniculatus","Female","Adult",20,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"59",2011-05-25,"1C","Recapture","Peromyscus maniculatus","Female","Adult",NA,"Agg=3, forgot weight,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"60",2011-05-25,"1D","Recapture","Peromyscus maniculatus","Female","Adult",17.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"61",2011-05-25,"1E","Recapture","Myodes gapperi","Male","Adult",15.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"62",2011-05-25,"1F","Recapture","Peromyscus maniculatus","Female","Adult",19,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"63",2011-05-25,"1G","New","Peromyscus maniculatus","Male","Adult",25,"Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"64",2011-05-25,"1H","Recapture","Myodes gapperi",NA,NA,NA,"escape,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"65",2011-05-25,"1I","Recapture","Peromyscus maniculatus","Male","Adult",16,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"66",2011-05-25,"1J","Recapture","Peromyscus maniculatus","Female","Adult",21,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"67",2011-05-25,"1P","Recapture","Myodes gapperi","Male","Adult",18,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"68",2011-05-25,"1R","Recapture","Peromyscus maniculatus","Female","Adult",18,"Agg=4,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"69",2011-05-25,"1T","New","Myodes gapperi","Female","Adult",19,"Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
