,Trap#,,Spp.,Tag (one),Tag (two),Sex,Age,Wt (g),Condition,Remarks
27/08/2008,1I,N,Zp,-,-,F,A,29.5,P,
26/05/2008,1J,N,Ta,-,-,M,A,50.5,S,got hair
27/08/2008,1J,N,Ta,-,-,M,A,> 50,NS,HAIR
13/05/2008,1K,N,Mg,3959,3960,M,A,17.5,NS,
15/05/2008,1K,R,Ta,-,-,-,A,-,-,HAIR TKAEN PREVIOUSLJ
19/05/2008,1K,R,Pm,4518,4519,M,A,17,S,
21/05/2008,1K,R,Pm,4518,4519,M,A,18,S,
03/07/2008,1K,R,Mg,4362 (NEW),4364 (NEW),F,A,28,B,"HAIR, NEW TAGS, POSSIBLJ 4524, 4525"
14/07/2008,1K,R,Pm,2894,4401,M,A,19,NS,
21/07/2008,1K,R,Mg,4362,9817 (NEW),F,A,29,LAC,
28/07/2008,1K,R,Mg,BULL'S EJE ON BACK,,M,A,23,S,
04/08/2008,1K,N,Ta,-,-,F,A,> 50,NB,
11/08/2008,1K,R,Mg,9362,-,F,A,20.5,B,
13/08/2008,1K,-,Ta,-,-,-,A,-,-,ESCAPED
22/08/2008,1K,R,Pm,4466,4473,F,A,23.5,LAC,
27/08/2008,1K,R,Pm,4466,4473,F,A,24.5,P AND L,
15/05/2008,1L,R,Mg,3959,3960,M,A,14,NS,
19/05/2008,1L,R,Pm,(new) 4598 ,(new) 4599,F,A,18.5,B,"BOTH OLD TAGS WERE MISSING, NEW ONES WERE PUT IN"
21/05/2008,1L,R,Pm,-,-,-,-,17.5,-,ESCAPED
02/06/2008,1L,R,Mg,3959,-,M,A,21,S,lost 1 tag
11/06/2008,1L,R,Mg,2885 (NEW),2886 (NEW),F,A,20,NB,
16/06/2008,1L,R,Mg,3907 (NEW),3999,M,A,9,S,"hair sample taken, 3907 is new tag"
03/07/2008,1L,R,Mg,-,-,M,A,21,S,"NO TAGS, TICKS"
07/07/2008,1L,R,Mg,3976 (NEW),-,M,A,23,S,"BOTH TAGS LOST, 1 NEW TAG"
14/07/2008,1L,R,Mg,2884,4387,M,A,22,S,NO EARS
23/07/2008,1L,R,Ta,-,-,M,A,52,NS,
13/05/2008,1M,N,Mg,4524,4525,F,A,19,B,first Perf
