Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks,
31-ago,1R,R,Mg,6462,6549,F,A,24,L,A2,
02-sep,2A,R,Pm,XXXXX,XXXXX,XXXX,A,XXXX,XXXX,ESC.,
02-sep,2B,R,Pm,6316,6625,F,A,20.5,"P, L",A2,
02-sep,2C,R,Pm,6738,6739,F,J,13.5,NB,A1,
02-sep,2E,R,Mg,6656,6657,F,A,19.5,NB,A2,
02-sep,2F,R,Ml,NA,NA,F,J/A,14,NB,A2,
02-sep,2G,R,Mg,6562,NA,F,A,23,L,A1,
02-sep,2H,R,Mg,6402,6755,M,A,23,NS,A2,
02-sep,2L,N,Pm,6746,6747,F,J,9.5,NB,"A1, too small for hair",
02-sep,1T,R,Mg,6776,6777,M,J,13.5,NS,A2,
02-sep,1R,R,Pm,6535,6536,F,J,13.5,NB,A2,
02-sep,1P,R,Pm,283,6198,F,A,21,"P, L",A1,
02-sep,1A,N,Pm,6720,6721,F,J,12,NB,A3,
02-sep,1B,R,Mg,6184,6186,F,A,28,P,A2,
02-sep,1C,R,Pm,6715,6716,F,J,XXXX,NP,A2,
02-sep,1D,R,Pm,XXXXX,XXXXX,XXXX,J,XXXX,XXXX,ESC.,
02-sep,1K,R,Mg,6851,6852,F,J,14.5,NP,A1,
02-sep,1K,R,Zp,NA,NA,F,A,>60,P,,
02-sep,1I,R,Pm,6672,6673,F,J,14,XXXX,A3,
02-sep,1L,R,Pm,6602,6603,F,J,14.5,NP,A1,
02-sep,1M,R,Mg,6462,6549,F,A,15,"P, L",A1,
02-sep,1N,R,Pm,6717,6718,F,A,13,NB,A3,
,,,,,,,,,,,
