Date,Trap#,Spp.,New/Recap,Tag (one),Tag (two),Sex,Age,Wt,Condition,Dye,Remarks
14-jun,1A,Pm,R,8894,8895,M,A,21,S,,
14-jun,1Q,Mg,R,4051,,M,A,22,,,
14-jun,1P,Pm,R,8890,,M,A,25,NS,,
14-jun,1N,Pm,R,8891,,F,A,25,L,,Flea powder/pink
19-jun,1Q,Pm,N,4060,4061,F,J,9,NB,,"orange on it, DNA"
19-jun,1L,Pm,N,4066,4072,M,J,7,NS,,"pink on it, poop, DNA"
19-jun,2K,Pm,R,4068,8802,F,A,20,NB,,blue
19-jun,2C,Mg,R,4003,8884,F,A,,NB,,Escapee
19-jun,1A,Pm,R,8894,8895,M,A,22,NS,,Would not poop
19-jun,1O,Mg,R,4051,,M,A,22,NS,,
19-jun,1P,Pm,R,8890,,M,A,24,NS,,poop
19-jun,2L,Pm,R,8891,,F,A,25,NB,,pink
22-jun,1L,Pm,R,4066,4072,M,J,,,,"Pink on it, dead in trap"
22-jun,1I,Pm,R,4099,4100,M,A,23,S,,"Lost tags, new tags"
22-jun,1A,Pm,R,7452,7453,M,A,,S,,
22-jun,2K,Pm,R,8102,8187,M,A,21,S,,
22-jun,1C,Mg,R,4003,8884,F,A,,,,
22-jun,2C,Pm,R,8894,8895,M,A,,,,
22-jun,2H,Mg,R,4051,,M,A,21,S,,
22-jun,1Q,Mg,R,8104,,F,A,20,NB,,
22-jun,1P,Pm,R,8756,,F,A,,,,"Rubbed, orange, combed = 0"
22-jun,1M,Pm,R,8890,,M,A,,,,
26-jun,1C,Mg,N,2002,2003,M,J,16,NS,,
26-jun,2L,Mg,N,2004,2005,M,J,18,NS,,
26-jun,1R,Pm,N,2118,2119,M,A,20,S,,DNA
26-jun,2C,Pm,R,4099,4100,M,A,21,,,
26-jun,1A,Pm,R,7452,7453,M,A,23,S,,
26-jun,1K,Pm,R,8102,8187,M,A,21.5,NS,,
26-jun,2L,Pm,R,4068,8802,F,A,22,P,,"rub, combed = 0, blue"
26-jun,2B,Mg,R,4003,8884,F,A,28,NB,,
26-jun,2D,Pm,R,8894,8895,M,A,20,S,,
26-jun,1I,Pm,N,2120,,M,J,4,NS,,DNA
26-jun,1T,Pm,R,2165,,M,A,22,S,,"no ears left, new tag"
26-jun,1Q,Mg,R,4051,,M,A,28,NS,,
26-jun,1P,Pm,R,8756,,F,A,19,NB,,"Rubbed, orange"
26-jun,2K,Pm,R,8891,,F,A,25,P/L,,"Combed = 0, powdered, pink"
28-jun,2C,Mg,R,2002,2003,M,A,23,S,,
28-jun,1T,Pm,R,2163,2164,F,A,21,NB,,new tags
