"","resolved_binomial","gametophytic","sporophytic","resolved_name"
"1","Datura_innoxia",NA,24,"Datura innoxia Mill."
"2","Datura_stramonium",NA,24,"Datura stramonium L."
"3","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"4","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"5","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"6","Solanum_sodomeum",NA,24,"Solanum sodomeum L."
"7","Mandragora_officinalis",NA,24,"Mandragora officinalis Mill."
"8","Atropa_belladonna",NA,72,"Atropa belladonna L."
"9","Physalis_alkekengi",NA,24,"Physalis alkekengi L."
"10","Datura_stramonium",NA,24,"Datura stramonium L."
"11","Solanum_nigrum",NA,72,"Solanum nigrum L."
"12","Solanum_nigrum",NA,72,"Solanum nigrum L."
"13","Atropa_belladonna",NA,72,"Atropa belladonna L."
"14","Datura_stramonium",NA,24,"Datura stramonium L."
"15","Lycium_barbarum",NA,24,"Lycium barbarum L."
"16","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"17","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"18","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"19","Physalis_alkekengi",NA,24,"Physalis alkekengi L."
"20","Nicotiana_alata",NA,18,"Nicotiana alata Link & Otto"
"21","Solanum_nigrum",NA,72,"Solanum nigrum L."
"22","Nicotiana_rustica",NA,48,"Nicotiana rustica L."
"23","Solanum_scabrum",NA,72,"Solanum scabrum Mill."
"24","Solanum_lycopersicum",NA,24,"Solanum lycopersicum L."
"25","Datura_stramonium",NA,24,"Datura stramonium L."
"26","Lycium_cinereum",NA,24,"Lycium cinereum Thunb."
"27","Physalis_alkekengi_var._franchetii",NA,24,"Physalis alkekengi var. franchetii (Mast.) Makino"
"28","Nicandra_physalodes",10,NA,"Nicandra physalodes (L.) Gaertn."
"29","Solanum_septemlobum",NA,24,"Solanum septemlobum Bunge"
"30","Physalis_angulata",24,NA,"Physalis angulata L."
"31","Physalis_minima",24,NA,"Physalis minima L."
"32","Lycium_mascarenense",NA,24,"Lycium mascarenense A. M. Venter & A. J. Scott"
"33","Lycium_schweinfurthii",NA,24,"Lycium schweinfurthii Dammer"
"34","Lycium_bosciifolium",NA,24,"Lycium bosciifolium Schinz"
"35","Lycium_tetrandrum",NA,48,"Lycium tetrandrum Thunb."
"36","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"37","Lycium_oxycarpum",NA,24,"Lycium oxycarpum Dunal"
"38","Solanum_viarum",12,NA,"Solanum viarum Dunal"
"39","Lycium_eenii",NA,24,"Lycium eenii S. Moore"
"40","Lycium_horridum",NA,24,"Lycium horridum Thunb."
"41","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"42","Lycium_shawii",NA,24,"Lycium shawii Roem. & Schult."
"43","Datura_stramonium",12,NA,"Datura stramonium L."
"44","Physochlaina_praealta",21,NA,"Physochlaina praealta (Decne.) Miers"
"45","Lycium_acutifolium",NA,24,"Lycium acutifolium E. Mey. ex Dunal"
"46","Physalis_peruviana",24,NA,"Physalis peruviana L."
"47","Physalis_alkekengi",NA,24,"Physalis alkekengi L."
"48","Solanum_virginianum",12,NA,"Solanum virginianum L."
"49","Lycium_acutifolium",NA,24,"Lycium acutifolium E. Mey. ex Dunal"
"50","Lycium_afrum",NA,24,"Lycium afrum L."
"51","Nicotiana_tabacum",24,NA,"Nicotiana tabacum L."
"52","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"53","Lycium_decumbens",NA,24,"Lycium decumbens Welw. ex Hiern"
"54","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"55","Lycium_ferocissimum",NA,48,"Lycium ferocissimum Miers"
"56","Lycium_pilifolium",NA,24,"Lycium pilifolium C. H. Wright"
"57","Solanum_violaceum",12,NA,"Solanum violaceum Ortega"
"58","Lycium_amoenum",NA,24,"Lycium amoenum Dammer"
"59","Nicotiana_tabacum",24,NA,"Nicotiana tabacum L."
"60","Lycium_cinereum",NA,48,"Lycium cinereum Thunb."
"61","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"62","Cestrum_nocturnum",8,NA,"Cestrum nocturnum L."
"63","Lycium_afrum",NA,24,"Lycium afrum L."
"64","Lycium_europaeum",NA,24,"Lycium europaeum L."
"65","Lycium_ferocissimum",NA,24,"Lycium ferocissimum Miers"
"66","Solanum_nigrum",12,NA,"Solanum nigrum L."
"67","Lycium_grandicalyx",NA,24,"Lycium grandicalyx Joubert & Venter"
"68","Lycium_bosciifolium",NA,24,"Lycium bosciifolium Schinz"
"69","Lycium_hirsutum",NA,24,"Lycium hirsutum Dunal"
"70","Lycium_tetrandrum",NA,72,"Lycium tetrandrum Thunb."
"71","Cestrum_elegans",8,NA,"Cestrum elegans (Brongn.) Schltdl."
"72","Lycium_pumilum",NA,24,"Lycium pumilum Dammer"
"73","Datura_stramonium",NA,24,"Datura stramonium L."
"74","Datura_stramonium",NA,24,"Datura stramonium L."
"75","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"76","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"77","Solanum_nigrum",NA,72,"Solanum nigrum L."
"78","Solanum_nigrum",NA,72,"Solanum nigrum L."
"79","Petunia_integrifolia",7,NA,"Petunia integrifolia (Hook.) Schinz & Thell."
"80","Solanum_aculeatissimum",NA,24,"Solanum aculeatissimum Jacq."
"81","Solanum_americanum",NA,24,"Solanum americanum Mill."
"82","Solanum_aviculare",NA,46,"Solanum aviculare G. Forst."
"83","Solanum_aviculare",NA,46,"Solanum aviculare G. Forst."
"84","Solanum_aviculare",NA,46,"Solanum aviculare G. Forst."
"85","Solanum_laciniatum",NA,92,"Solanum laciniatum Aiton"
"86","Solanum_laciniatum",NA,92,"Solanum laciniatum Aiton"
"87","Atropa_belladonna",NA,72,"Atropa belladonna L."
"88","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"89","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"90","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"91","Solanum_nigrum",NA,72,"Solanum nigrum L."
"92","Solanum_nigrum",NA,72,"Solanum nigrum L."
"93","Solanum_nitidibaccatum",NA,16,"Solanum nitidibaccatum Bitter"
"94","Solanum_sarrachoides",NA,24,"Solanum sarrachoides Sendtn."
"95","Atropa_baetica",NA,72,"Atropa baetica Willk."
"96","Atropa_baetica",36,NA,"Atropa baetica Willk."
"97","Atropa_belladonna",25,NA,"Atropa belladonna L."
"98","Datura_stramonium",NA,24,"Datura stramonium L."
"99","Hyoscyamus_albus",34,68,"Hyoscyamus albus L."
"100","Hyoscyamus_albus",NA,68,"Hyoscyamus albus L."
"101","Hyoscyamus_albus",34,68,"Hyoscyamus albus L."
"102","Hyoscyamus_albus",34,NA,"Hyoscyamus albus L."
"103","Hyoscyamus_albus",NA,68,"Hyoscyamus albus L."
"104","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"105","Lycium_afrum",NA,24,"Lycium afrum L."
"106","Lycium_intricatum",NA,24,"Lycium intricatum Boiss."
"107","Mandragora_officinalis",NA,84,"Mandragora officinalis Mill."
"108","Mandragora_officinalis",NA,96,"Mandragora officinalis Mill."
"109","Nicotiana_glauca",12,NA,"Nicotiana glauca Graham"
"110","Nicotiana_tabacum",NA,48,"Nicotiana tabacum L."
"111","Physalis_ixocarpa",NA,24,"Physalis ixocarpa Brot. ex Hornem."
"112","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"113","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"114","Solanum_nigrum",NA,48,"Solanum nigrum L."
"115","Solanum_nigrum",NA,36,"Solanum nigrum L."
"116","Solanum_nigrum",NA,NA,"Solanum nigrum L."
"117","Solanum_chenopodioides",NA,54,"Solanum chenopodioides Lam."
"118","Solanum_sodomeum",NA,24,"Solanum sodomeum L."
"119","Solanum_sodomeum",NA,24,"Solanum sodomeum L."
"120","Solanum_sodomeum",12,NA,"Solanum sodomeum L."
"121","Solanum_herculeum",12,NA,"Solanum herculeum Bohs"
"122","Nicandra_physalodes",NA,20,"Nicandra physalodes (L.) Gaertn."
"123","Lycium_barbarum",NA,24,"Lycium barbarum L."
"124","Atropa_belladonna",NA,72,"Atropa belladonna L."
"125","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"126","Salpichroa_origanifolia",NA,24,"Salpichroa origanifolia (Lam.) Baill."
"127","Physalis_alkekengi",NA,24,"Physalis alkekengi L."
"128","Physalis_peruviana",NA,NA,"Physalis peruviana L."
"129","Physalis_ixocarpa",NA,24,"Physalis ixocarpa Brot. ex Hornem."
"130","Capsicum_annuum",NA,NA,"Capsicum annuum L."
"131","Solanum_lycopersicum",NA,24,"Solanum lycopersicum L."
"132","Solanum_nigrum",NA,48,"Solanum nigrum L."
"133","Solanum_nigrum",NA,72,"Solanum nigrum L."
"134","Solanum_chenopodioides",NA,24,"Solanum chenopodioides Lam."
"135","Solanum_nitidibaccatum",NA,16,"Solanum nitidibaccatum Bitter"
"136","Solanum_triflorum",NA,24,"Solanum triflorum Nutt."
"137","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"138","Solanum_tuberosum",NA,48,"Solanum tuberosum L."
"139","Solanum_sisymbriifolium",NA,24,"Solanum sisymbriifolium Lam."
"140","Solanum_rostratum",NA,24,"Solanum rostratum Dunal"
"141","Datura_stramonium",NA,24,"Datura stramonium L."
"142","Datura_ferox",NA,24,"Datura ferox L."
"143","Nicotiana_rustica",NA,48,"Nicotiana rustica Comes"
"144","Nicotiana_tabacum",NA,48,"Nicotiana tabacum L."
"145","Nicotiana_alata",NA,18,"Nicotiana alata Link & Otto"
"146","Petunia_hybrida",NA,NA,"Petunia hybrida Vilm."
"147","Solanum_amotapense",NA,24,"Solanum amotapense Svenson"
"148","Solanum_confusum",12,NA,"Solanum confusum C. V. Morton"
"149","Solanum_fusiforme",NA,24,"Solanum fusiforme L. B. Sm. & Downs"
"150","Solanum_glaucophyllum",NA,24,"Solanum glaucophyllum Desf."
"151","Solanum_glaucophyllum",12,NA,"Solanum glaucophyllum Desf."
"152","Solanum_hibernum",NA,24,"Solanum hibernum Bohs"
"153","Solanum_luteoalbum",NA,24,"Solanum luteoalbum Pers."
"154","Solanum_luteoalbum",NA,24,"Solanum luteoalbum Pers."
"155","Solanum_stuckertii",12,NA,"Solanum stuckertii Bitter"
"156","Solanum_stuckertii",12,NA,"Solanum stuckertii Bitter"
"157","Hyoscyamus_albus",NA,68,"Hyoscyamus albus L."
"158","Physalis_alkekengi",NA,24,"Physalis alkekengi L."
"159","Mandragora_officinalis",NA,84,"Mandragora officinalis Mill."
"160","Lycium_barbarum",NA,24,"Lycium barbarum L."
"161","Solanum_lycopersicum",NA,24,"Solanum lycopersicum L."
"162","Lycium_intricatum",NA,24,"Lycium intricatum Boiss."
"163","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"164","Physalis_philadelphica",NA,24,"Physalis philadelphica Lam."
"165","Petagnia_saniculifolia",NA,42,"Petagnia saniculifolia Guss."
"166","Datura_stramonium",NA,24,"Datura stramonium L."
"167","Datura_stramonium",NA,24,"Datura stramonium L."
"168","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"169","Lycium_barbarum",NA,48,"Lycium barbarum L."
"170","Lycium_barbarum",NA,24,"Lycium barbarum L."
"171","Physalis_alkekengi",NA,24,"Physalis alkekengi L."
"172","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"173","Solanum_nigrum",NA,72,"Solanum nigrum L."
"174","Acnistus_arborescens",12,NA,"Acnistus arborescens (L.) Schltdl."
"175","Acnistus_arborescens",12,NA,"Acnistus arborescens (L.) Schltdl."
"176","Anisodus_acutangulus",24,NA,"Anisodus acutangulus C. Y. Wu & C. Chen"
"177","Anisodus_luridus",24,NA,"Anisodus luridus Link"
"178","Anisodus_luridus",12,NA,"Anisodus luridus Link"
"179","Anisodus_luridus",12,NA,"Anisodus luridus Link"
"180","Anisodus_luridus",24,NA,"Anisodus luridus Link"
"181","Anisodus_tanguticus",24,NA,"Anisodus tanguticus (Maxim.) Pascher"
"182","Anthocercis_anisantha",36,NA,"Anthocercis anisantha Endl."
"183","Anthocercis_genistoides",36,NA,"Anthocercis genistoides Miers"
"184","Anthocercis_gracilis",36,NA,"Anthocercis gracilis Benth."
"185","Anthocercis_ilicifolia",36,NA,"Anthocercis ilicifolia Hook."
"186","Anthocercis_littorea",36,NA,"Anthocercis littorea Labill."
"187","Anthocercis_viscosa",36,NA,"Anthocercis viscosa R. Br."
"188","Anthotroche_pannosa",31,NA,"Anthotroche pannosa Endl."
"189","Athenaea_picta",12,NA,"Athenaea picta (Mart.) Sendtn."
"190","Atropa_acuminata",36,NA,"Atropa acuminata Royle ex Lindl."
"191","Atropa_belladonna",36,NA,"Atropa belladonna L."
"192","Atropanthe_sinensis",24,NA,"Atropanthe sinensis (Hemsl.) Pascher"
"193","Saracha_sellowiana",12,NA,"Saracha sellowiana (Sendtn.) Miers"
"194","Bouchetia_anomala",8,NA,"Bouchetia anomala (Miers) Britton & Rusby"
"195","Bouchetia_erecta",8,NA,"Bouchetia erecta DC. ex Dunal"
"196","Browallia_americana",11,NA,"Browallia americana L."
"197","Browallia_americana",10,NA,"Browallia americana L."
"198","Browallia_americana",11,NA,"Browallia americana L."
"199","Brugmansia_pittieri",12,NA,"Brugmansia pittieri (Saff.) Moldenke"
"200","Brugmansia_sanguinea",12,NA,"Brugmansia sanguinea (Ruiz & Pav.) D. Don"
"201","Brugmansia_sanguinea",12,NA,"Brugmansia sanguinea (Ruiz & Pav.) D. Don"
"202","Brugmansia_suaveolens",12,NA,"Brugmansia suaveolens (Humb. & Bonpl.) Bercht. & J. Presl"
"203","Brugmansia_suaveolens",12,NA,"Brugmansia suaveolens (Humb. & Bonpl.) Bercht. & J. Presl"
"204","Brugmansia_versicolor",12,NA,"Brugmansia versicolor Lagerh."
"205","Brunfelsia_americana",11,NA,"Brunfelsia americana L."
"206","Brunfelsia_australis",12,NA,"Brunfelsia australis Benth."
"207","Brunfelsia_australis",12,NA,"Brunfelsia australis Benth."
"208","Brunfelsia_dwyeri",11,NA,"Brunfelsia dwyeri D'Arcy"
"209","Brunfelsia_grandiflora",11,NA,"Brunfelsia grandiflora D. Don"
"210","Brunfelsia_lactea",11,NA,"Brunfelsia lactea Krug & Urb."
"211","Brunfelsia_pauciflora",11,NA,"Brunfelsia pauciflora (Cham. & Schltdl.) Benth."
"212","Brunfelsia_undulata",11,NA,"Brunfelsia undulata Sw."
"213","Calibrachoa_calycina",9,NA,"Calibrachoa calycina (Sendtn.) Wijsman"
"214","Calibrachoa_eglandulata",9,NA,"Calibrachoa eglandulata Stehmann & Semir"
"215","Calibrachoa_eglandulata",9,NA,"Calibrachoa eglandulata Stehmann & Semir"
"216","Calibrachoa_elegans",9,NA,"Calibrachoa elegans (Miers) Stehmann & Semir"
"217","Calibrachoa_heterophylla",9,NA,"Calibrachoa heterophylla (Sendtn.) Wijsman"
"218","Calibrachoa_heterophylla",9,NA,"Calibrachoa heterophylla (Sendtn.) Wijsman"
"219","Calibrachoa_linoides",9,NA,"Calibrachoa linoides (Sendtn.) Wijsman"
"220","Calibrachoa_macrodactylon",9,NA,"Calibrachoa macrodactylon (Sm. & Downs) Wijsman"
"221","Calibrachoa_micrantha",9,NA,"Calibrachoa micrantha (R. E. Fr.) Stehmann & Semir"
"222","Calibrachoa_parviflora",9,NA,"Calibrachoa parviflora (Juss.) D'Arcy"
"223","Calibrachoa_parviflora",9,NA,"Calibrachoa parviflora (Juss.) D'Arcy"
"224","Calibrachoa_rupestris",9,NA,"Calibrachoa rupestris (Dusén) Wijsman"
"225","Calibrachoa_sellowiana",9,NA,"Calibrachoa sellowiana (Sendtn.) Wijsman"
"226","Calibrachoa_sendtneriana",9,NA,"Calibrachoa sendtneriana (R. E. Fr.) Stehmann & Semir"
"227","Capsicum_annuum_var._glabriusculum",12,NA,"Capsicum annuum var. glabriusculum (Dunal) Heiser & Pickersgill"
"228","Capsicum_annuum",12,NA,"Capsicum annuum L."
"229","Capsicum_annuum",12,NA,"Capsicum annuum L."
"230","Capsicum_baccatum",12,NA,"Capsicum baccatum L."
"231","Capsicum_baccatum",12,NA,"Capsicum baccatum L."
"232","Capsicum_baccatum",12,NA,"Capsicum baccatum L."
"233","Capsicum_baccatum",12,NA,"Capsicum baccatum L."
"234","Capsicum_buforum",12,NA,"Capsicum buforum Hunz."
"235","Capsicum_buforum",12,NA,"Capsicum buforum Hunz."
"236","Capsicum_buforum",12,NA,"Capsicum buforum Hunz."
"237","Capsicum_caatingae",12,NA,"Capsicum caatingae Barboza & Agra"
"238","Capsicum_campylopodium",13,NA,"Capsicum campylopodium Sendtn."
"239","Capsicum_chacoense",12,NA,"Capsicum chacoense Hunz."
"240","Capsicum_chacoense",12,NA,"Capsicum chacoense Hunz."
"241","Capsicum_chacoense",12,NA,"Capsicum chacoense Hunz."
"242","Capsicum_chinense",12,NA,"Capsicum chinense Jacq."
"243","Capsicum_chinense",12,NA,"Capsicum chinense Jacq."
"244","Capsicum_chinense",12,NA,"Capsicum chinense Jacq."
"245","Capsicum_rhomboideum",12,NA,"Capsicum rhomboideum (Dunal) Kuntze"
"246","Capsicum_coccineum",12,NA,"Capsicum coccineum (Rusby) Hunz."
"247","Capsicum_cornutum",13,NA,"Capsicum cornutum (Hiern) Hunz."
"248","Capsicum_dimorphum",12,NA,"Capsicum dimorphum (Miers) Kuntze"
"249","Capsicum_dusenii",12,NA,"Capsicum dusenii Bitter"
"250","Capsicum_dusenii",12,NA,"Capsicum dusenii Bitter"
"251","Capsicum_eximium",12,NA,"Capsicum eximium Hunz."
"252","Capsicum_eximium",12,NA,"Capsicum eximium Hunz."
"253","Capsicum_eximium",12,NA,"Capsicum eximium Hunz."
"254","Capsicum_flexuosum",12,NA,"Capsicum flexuosum Sendtn."
"255","Capsicum_flexuosum",12,NA,"Capsicum flexuosum Sendtn."
"256","Capsicum_friburgense",13,NA,"Capsicum friburgense Bianch. & Barboza"
"257","Capsicum_annuum",12,NA,"Capsicum annuum L."
"258","Capsicum_annuum",12,NA,"Capsicum annuum L."
"259","Capsicum_annuum",12,NA,"Capsicum annuum L."
"260","Capsicum_galapagoense",12,NA,"Capsicum galapagoense Hunz."
"261","Capsicum_galapagoense",12,NA,"Capsicum galapagoense Hunz."
"262","Capsicum_galapagoense",12,NA,"Capsicum galapagoense Hunz."
"263","Capsicum_galapagoense",12,NA,"Capsicum galapagoense Hunz."
"264","Capsicum_geminifolium",12,NA,"Capsicum geminifolium (Dammer) Hunz."
"265","Capsicum_hookerianum",12,NA,"Capsicum hookerianum (Miers) Kuntze"
"266","Capsicum_leptopodum",12,NA,"Capsicum leptopodum (Dunal) Kuntze"
"267","Capsicum_longidentatum",12,NA,"Capsicum longidentatum Agra & Barboza"
"268","Capsicum_mirabile",13,NA,"Capsicum mirabile Sendtn."
"269","Capsicum_parvifolium",12,NA,"Capsicum parvifolium Sendtn."
"270","Capsicum_parvifolium",12,NA,"Capsicum parvifolium Sendtn."
"271","Capsicum_parvifolium",12,NA,"Capsicum parvifolium Sendtn."
"272","Capsicum_pubescens",12,NA,"Capsicum pubescens Ruiz & Pav."
"273","Capsicum_pubescens",12,NA,"Capsicum pubescens Ruiz & Pav."
"274","Capsicum_recurvatum",13,NA,"Capsicum recurvatum Witasek"
"275","Capsicum_rhomboideum",13,NA,"Capsicum rhomboideum (Dunal) Kuntze"
"276","Capsicum_rhomboideum",13,NA,"Capsicum rhomboideum (Dunal) Kuntze"
"277","Capsicum_schottianum",13,NA,"Capsicum schottianum Sendtn."
"278","Capsicum_schottianum",13,NA,"Capsicum schottianum Sendtn."
"279","Capsicum_scolnikianum",12,NA,"Capsicum scolnikianum Hunz."
"280","Capsicum_scolnikianum",12,NA,"Capsicum scolnikianum Hunz."
"281","Capsicum_villosum",13,NA,"Capsicum villosum Sendtn."
"282","Cestrum_aurantiacum",8,NA,"Cestrum aurantiacum Lindl."
"283","Cestrum_aurantiacum",8,NA,"Cestrum aurantiacum Lindl."
"284","Cestrum_bigibbosum",8,NA,"Cestrum bigibbosum Pittier"
"285","Cestrum_buxifolium",8,NA,"Cestrum buxifolium Kunth"
"286","Cestrum_corymbosum",16,NA,"Cestrum corymbosum Schltdl."
"287","Cestrum_diurnum",8,NA,"Cestrum diurnum L."
"288","Cestrum_diurnum",8,NA,"Cestrum diurnum L."
"289","Cestrum_laevigatum",16,NA,"Cestrum laevigatum Schltdl."
"290","Cestrum_schlechtendahlii",16,NA,"Cestrum schlechtendahlii G. Don"
"291","Cestrum_nocturnum",8,NA,"Cestrum nocturnum L."
"292","Cestrum_nocturnum",8,NA,"Cestrum nocturnum L."
"293","Cestrum_strigillatum",8,NA,"Cestrum strigillatum Ruiz & Pav."
"294","Cestrum_tomentosum",8,NA,"Cestrum tomentosum L."
"295","Chamaesaracha_coniodes",24,NA,"Chamaesaracha coniodes (Moric.) Britton"
"296","Chamaesaracha_coronopus",12,NA,"Chamaesaracha coronopus (Dunal) A. Gray"
"297","Chamaesaracha_coronopus",18,NA,"Chamaesaracha coronopus (Dunal) A. Gray"
"298","Chamaesaracha_coronopus",24,NA,"Chamaesaracha coronopus (Dunal) A. Gray"
"299","Chamaesaracha_coronopus",12,NA,"Chamaesaracha coronopus (Dunal) A. Gray"
"300","Chamaesaracha_crenata",12,NA,"Chamaesaracha crenata Rydb."
"301","Chamaesaracha_darcyi",24,NA,"Chamaesaracha darcyi Averett"
"302","Chamaesaracha_edwardsiana",24,NA,"Chamaesaracha edwardsiana Averett"
"303","Chamaesaracha_sordida",12,NA,"Chamaesaracha sordida A. Gray"
"304","Chamaesaracha_sordida",18,NA,"Chamaesaracha sordida A. Gray"
"305","Chamaesaracha_sordida",24,NA,"Chamaesaracha sordida A. Gray"
"306","Chamaesaracha_villosa",12,NA,"Chamaesaracha villosa Rydb."
"307","Crenidium_spinescens",35,NA,"Crenidium spinescens Haegi"
"308","Cyphanthera_albicans_subsp._tomentosa",30,NA,"Cyphanthera albicans subsp. tomentosa (Benth.) Haegi"
"309","Cyphanthera_albicans",30,NA,"Cyphanthera albicans (A. Cunn.) Miers"
"310","Cyphanthera_albicans",30,NA,"Cyphanthera albicans (A. Cunn.) Miers"
"311","Cyphanthera_anthocercidea",30,NA,"Cyphanthera anthocercidea (F. Muell.) Haegi"
"312","Cyphanthera_microphylla",30,NA,"Cyphanthera microphylla Miers"
"313","Cyphanthera_miersiana",30,NA,"Cyphanthera miersiana Haegi"
"314","Cyphanthera_scabrella",30,NA,"Cyphanthera scabrella Miers"
"315","Cyphanthera_tasmanica",30,NA,"Cyphanthera tasmanica Miers"
"316","Solanum_roseum",12,NA,"Solanum roseum Bohs"
"317","Solanum_exiguum",12,NA,"Solanum exiguum Bohs"
"318","Solanum_betaceum",12,NA,"Solanum betaceum Cav."
"319","Solanum_cajanumense",12,NA,"Solanum cajanumense Kunth"
"320","Solanum_latiflorum",12,NA,"Solanum latiflorum Bohs"
"321","Solanum_corymbiflorum",12,NA,"Solanum corymbiflorum (Sendtn.) Bohs"
"322","Solanum_corymbiflorum",12,NA,"Solanum corymbiflorum (Sendtn.) Bohs"
"323","Solanum_corymbiflorum",12,NA,"Solanum corymbiflorum (Sendtn.) Bohs"
"324","Solanum_diploconos",12,NA,"Solanum diploconos (Mart.) Bohs"
"325","Solanum_melissarum",12,NA,"Solanum melissarum Bohs"
"326","Solanum_diversifolium",12,NA,"Solanum diversifolium Dunal"
"327","Solanum_diversifolium",12,NA,"Solanum diversifolium Dunal"
"328","Solanum_diversifolium",12,NA,"Solanum diversifolium Dunal"
"329","Solanum_fortunense",12,NA,"Solanum fortunense Bohs"
"330","Solanum_endopogon",12,NA,"Solanum endopogon (Bitter) Bohs"
"331","Solanum_endopogon",12,NA,"Solanum endopogon (Bitter) Bohs"
"332","Solanum_endopogon",12,NA,"Solanum endopogon (Bitter) Bohs"
"333","Solanum_cacosmum",12,NA,"Solanum cacosmum Bohs"
"334","Solanum_oxyphyllum",12,NA,"Solanum oxyphyllum C. V. Morton"
"335","Solanum_circinatum",12,NA,"Solanum circinatum Bohs"
"336","Solanum_circinatum",12,NA,"Solanum circinatum Bohs"
"337","Solanum_huilense",12,NA,"Solanum huilense Bohs"
"338","Solanum_paralum",12,NA,"Solanum paralum Bohs"
"339","Solanum_fallax",12,NA,"Solanum fallax Bohs"
"340","Solanum_obliquum",12,NA,"Solanum obliquum Ruiz & Pav."
"341","Solanum_proteanthum",12,NA,"Solanum proteanthum Bohs"
"342","Solanum_ovum-fringillae",12,NA,"Solanum ovum-fringillae (Dunal) Bohs"
"343","Solanum_pendulum",12,NA,"Solanum pendulum Ruiz & Pav."
"344","Solanum_calidum",12,NA,"Solanum calidum Bohs"
"345","Solanum_pinetorum",12,NA,"Solanum pinetorum (L. B. Sm. & Downs) Bohs"
"346","Solanum_premnifolium",12,NA,"Solanum premnifolium (Miers) Bohs"
"347","Solanum_rojasianum",12,NA,"Solanum rojasianum (Standl. & Steyerm.) Bohs"
"348","Solanum_sciadostylis",12,NA,"Solanum sciadostylis (Sendtn.) Bohs"
"349","Solanum_sibundoyense",12,NA,"Solanum sibundoyense (Bohs) Bohs"
"350","Solanum_occultum",12,NA,"Solanum occultum Bohs"
"351","Solanum_sycocarpum",12,NA,"Solanum sycocarpum Mart. & Sendtn."
"352","Solanum_tegore",12,NA,"Solanum tegore Aubl."
"353","Solanum_tenuisetosum",12,NA,"Solanum tenuisetosum (Bitter) Bohs"
"354","Solanum_tobagense",12,NA,"Solanum tobagense (Sandwith) Bohs"
"355","Solanum_unilobum",12,NA,"Solanum unilobum (Rusby) Bohs"
"356","Datura_ceratocaula",12,NA,"Datura ceratocaula Ortega"
"357","Datura_discolor",12,NA,"Datura discolor Bernh."
"358","Datura_discolor",12,NA,"Datura discolor Bernh."
"359","Datura_discolor",12,NA,"Datura discolor Bernh."
"360","Datura_discolor",12,NA,"Datura discolor Bernh."
"361","Datura_ferox",12,NA,"Datura ferox L."
"362","Datura_ferox",12,NA,"Datura ferox L."
"363","Datura_innoxia",12,NA,"Datura innoxia Mill."
"364","Datura_innoxia",12,NA,"Datura innoxia Mill."
"365","Datura_leichhardtii",12,NA,"Datura leichhardtii Benth."
"366","Datura_metel",12,NA,"Datura metel L."
"367","Datura_metel",12,NA,"Datura metel L."
"368","Datura_innoxia",12,NA,"Datura innoxia Mill."
"369","Datura_pruinosa",12,NA,"Datura pruinosa Greenm."
"370","Datura_quercifolia",12,NA,"Datura quercifolia Kunth"
"371","Datura_stramonium",12,NA,"Datura stramonium L."
"372","Datura_stramonium",12,NA,"Datura stramonium L."
"373","Datura_wrightii",12,NA,"Datura wrightii Regel"
"374","Duboisia_hopwoodii",30,NA,"Duboisia hopwoodii (F. Muell.) F. Muell."
"375","Duboisia_hopwoodii",30,NA,"Duboisia hopwoodii (F. Muell.) F. Muell."
"376","Dunalia_brachyacantha",12,NA,"Dunalia brachyacantha Miers"
"377","Dyssochroma_viridiflora",12,NA,"Dyssochroma viridiflora Miers"
"378","Eriolarynx_lorentzii",12,NA,"Eriolarynx lorentzii (Dammer) Hunz."
"379","Eriolarynx_lorentzii",12,NA,"Eriolarynx lorentzii (Dammer) Hunz."
"380","Exodeconus_prostratus",12,NA,"Exodeconus prostratus (L'Hér.) Raf."
"381","Fabiana_densa",9,NA,"Fabiana densa Remy"
"382","Fabiana_denudata",9,NA,"Fabiana denudata Miers"
"383","Fabiana_imbricata",9,NA,"Fabiana imbricata Ruiz & Pav."
"384","Grabowskia_boerhaaviifolia",12,NA,"Grabowskia boerhaaviifolia (L.) Schltdl."
