Date,Trap #,New/Recap,Species,Tag,Tag,Sex,Age,Weight,Condition,Remarks,
jun-16,2K,R,Pm,7670,,F,A,21.5,P,,
jun-16,2M,R,Pm,7527,7537,M,A,21.5,S,,
jun-16,1S,R,Pm,7667,7668,F,A,28,NB,,
jun-20,1B,R,Pm,,,F,A,22.5,NB ,no tags,
jun-20,1C,,Zp,,,,,,,,
jun-20,1D,R,Pm,7212,,M,A,24.5,S,,
jun-20,1J,R,Pm,7194,,M,A,20.5,S,,
jun-20,1P,R,Pm,7998,,M,A,23,S,no tags and no hair clip,
jun-20,1R,R,Pm,7765,7766,M,A,20,NS,,
jun-20,2D,R,Cg,right shoulder and has hair sample,,M,A,22,NS,,
jun-20,2H,R,Pm,7452,7453,M,A,23,NS,,
jun-20,2I,R,Cg,strip up back with hair sample,,M,A,24,NS,has previous hair sample,
jun-20,2K,R,Pm,7527,7537,M,A,23.5,NS ,took hair sample today,
jun-20,2L,R,Cg,left shoulder,,F,A,23.5,NB,lac?,
jun-20,2M,R,Pm,right shoulder,,M,A,22,S,one nut,
jun-24,1E,R,Pm,,,M,A,25,S,escaped,
jun-24,1G,R,Pm,middle of back,,F,A,24,NB,"no tags, clipped middle of back",
jun-24,1H,,Ta,,,,,,,,
jun-24,1M,R,Cg,left shoulder,,F,A,22.5,NB,,
jun-24,1P,N,Cg,line in the middle of back with hair sample,,M,J,14.5,NS,,
jun-24,2M,R,Pm,right shoulder with hair sample,,M,A,22,S,,
jun-24,2L,R,Cg,strip up back with hair sample,,M,A,23,NS,,
jun-24,2K,R,Pm,looks like and I,,M,A,20.5,NS,,
jun-24,2I,N,Cg,width of back,,,J,17,,,
jun-24,2H,R,Pm,7453,,M,A,25,S,,
jun-24,2D,R,Cg,right shoulder with hair sample,,M,A,26.5,NS,,
jun-30,1D,R,Pm,middle of back,,F,A,27,preg?,,
jun-30,1E,R,Pm,7212,,M,A,27,S,,
jun-30,1G,N,Cg,,,F,A,27.5,P,escaped,
jun-30,1L,N,Pm,7767,7768,F,A,27,P,,
jun-30,1M,R,Cg,left shoulder,,F,A,20.5,NB,,
jun-30,1P,R,Pm,I on back,,M,A,22,NS,,
jun-30,1Q,,Zp,,,,,,,,
jun-30,1S,,Ta,,,,,,,,
jun-30,2C,R,Cg,7919,7923,F,A,25.5,NB,"had right shoulder clipping, now new tags NEED to recheck sex",
jun-30,2H,R,Pm,7452,7453,M,A,25,NS,,
jun-30,2I,N,Cg,,,,,,,dead in trap,
jun-30,2K,N,Pm,7906,7907,F,J,6,NB,so so tiny,
jun-30,2L,R,Cg,strip up back with hair sample,,M,A,22,NS,,
jun-30,2M,R,Pm,right shouler with hair sample,,M,A,18.5,NS,,
jul-04,2A,,Zp,,,,,,,,
jul-04,2C,R,Pm,7212,,M,A,24.5,S,,
jul-04,2K,R,Pm,7667,7668,F,A,25.5,NB,,
jul-04,2M,R,Pm,right shoulder,,M,A,21,NS,,
jul-04,1T,R,Pm,7909,,M,A,21.5,NS,,
jul-04,1D,R,Pm,7452,7453,M,A,24,S,I on back but retagged,
jul-04,1F,,Zp,,,,,,,,
jul-04,1J,R,Pm,7194,,M,A,21,S,,
jul-04,1M,R,Cg,left shoulder,,F,A,21,NB,,
jul-04,1N,N,Pm,7769,7770,F?,J?,10,NB,,
jul-04,1Q,,Ta,,,,,,,,
jul-04,1S,,Ta,,,,,,,,
jul-07,1A,R,Pm,7452,7453,M,A,23,S,,
jul-07,1D,R,Pm,middle of back,,F,A,27,L?,,
jul-07,1H,N,Cg,7771,7772,F,A,28,had an ozzy red substance,,
jul-07,1J,R,Pm,7767,7768,F,A,?,L?,,
jul-07,1M,R,Cg,left shoulder,,F,A,21,NS,,
jul-07,1O,N,Pm,7773,7774,M,J,9.5,?,,
jul-07,1P,,Ta,,,,,,,,
jul-07,2M,R,Pm,right shoulder,,M,A,19.5,NS,,
jul-07,2I,,Zp,,,,,,,,
jul-07,2E,,Zp,,,,,,,,
jul-10,1A,,Zp,,,,,,,,
jul-10,1B,,Zp,,,,,,,,
jul-10,1C,,Ta,,,,,,,,
jul-10,1D,R,Pm,7452,7453,M,A,23,S,,
jul-10,1E,R,Pm,left side of face has no fur,,M,A,21.5,,,
jul-10,1G,R,Cg,7772,7909,F,A,26,NB,7908 is a new tag,
jul-10,1I,,Zp,,,,,,,,
jul-10,1N,N,Pm,7910,7921,F,J,9,NB,hair sample. Hanta blood #1,
jul-10,1o,R,Pm,7773,7774,M,J,9,NS,hanta blood #2,
jul-10,1P,R,Pm,escaped,,,J,,,escaped,
jul-10,1Q,,Zp,,,,,,,,
jul-10,1S,,Ta,,,,,,,,
jul-10,2M,R,Pm,right shoulder,,M,A,20,NS,,
jul-10,2L,,Ta,,,,,,,,
jul-10,2K,R,Pm,7767,7768,F,A,28,NB,,
jul-10,2I,R,Cg,"upside down T, middle of back with hair sample",,F,A,23,NB,,
jul-10,2F,,Zp,,,,,,,,
jul-10,2D,,Ta,,,,,,,,
jul-10,2C,R,Pm,middle of back,,F,A,29,preg?,,
jul-10,2A,,Ta,,,,,,,,
July 17th,1A,,Zp,,,,,,,,
July 17th,1B,R,Pm,7452,7453,M,A,22,S,,
July 17th,1D,R,Pm,middle of back,,F,A,24,L?,,
July 17th,1F,R,Pm,7907,,F,J,12,NS,,
July 17th,1J,,Zp,,,,,,,,
July 17th,1O,R,Pm,7773,7774,M?,J,13,NS,,
July 17th,1T,R,Pm,7769,7770,F,J,14,NB,,
July 17th,2K,R,Pm,7767,7768,F,A,25,L?,,
July 17th,2D,R,Pm,7917,,?,J,13,,,
July 17th,2C,N,Pm,7775,B276,,J,14,,,
July 17th,2B,R,Cg,"upside down T, middle of back with hair sample",,M,A,25,NS,,
July 22nd,1A,R,Pm,7917,7918,M,J,12,NS,,
July 22nd,1C,N,Pm,B280,,F,A,26,P?,,
July 22nd,1D,R,Pm,7775,B276,F,J,13,NB,,
July 22nd,1G,R,Pm,middle of back,,F,A,23,L?,,
July 22nd,1I,R,Pm,right shoulder,,M,A,20,NS,,
July 22nd,1K,,Zp,,,,,,,,
July 22nd,1N,R,Pm,7773,7774,M,J,14,NS,,
July 22nd,1Q,,Ta,,,,,,,,
July 22nd,1R,R,Pm,,,,,,,escaped,
July 22nd,1T,R,Pm,7769,7770,F,J,15,NB,,
July 22nd,2K,R,Pm,7767,7768,F,A,26,P?,,
July 22nd,2F,R,Cg,"upside down T, middle of back with hair sample",,M,A,24,NS,,
July 22nd,2E,N,Cg,,,,,,,escaped,
July 22nd,2D,N,Pm,B279,B281,M,J,14,NS,,
July 22nd,2B,R,Pm,7452,7453,M,A,24,S,,
July 25th,1A,R,Pm,7452,7453,M,A,24,S,,
July 25th,1B,R,Pm,7917,7918,M,J,17,NS,,
July 25th,1D,R,Pm,middle of back,,F,A,25,P?,,
July 25th,1E,,Ta,,,,,,,,
July 25th,1G,R,Pm,7767,7768,F,A,27,P,,
July 25th,1J,,Zp,,,,,,,,
July 25th,1O,,Zp,,,,,,,,
July 25th,1P,N,Pm,B282,B283,F,J,14,NB,"bled, hair, DNA",
July 25th,1T,R,Pm,7773,7774,M,J,15,NS,"bled, hair",
July 25th,2H,R,Cg,"upside down T, middle of back with hair sample",,M,A,25,NS,,
July 28th,1B,R,Pm,7917,7918,M,J,14,NS,,
July 28th,1C,R,Pm,B279,B281,M,J,16,NS,bled,
July 28th,1E,R,Pm,middle of back,,F,A,25,P/L?,"bled, hair",
July 28th,1H,R,Pm,B280,B284,F,A,25,NB,B284 = new tag,
July 28th,1I,,Zp,,,,,,,,
July 28th,1K,R,Pm,7773,7774,M,J,16,NS,,
July 28th,1L,R,Pm,7769,7770,F,J,14,NS,,
July 28th,1R,,Zp,,,,,,,,
July 28th,1S,,Ta,,,,,,,,
July 28th,2M,R,Pm,7767,7768,F,A,29,P,,
July 28th,2K,R,Pm,right shoulder,,M,A,24,NS,,
