Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks,,,
14-Aug,2I,R,Pm,5413,5430,M,A,21.5,S,,,,
14-Aug,1K,R,Mg,5434,,M,A,19.5,S,"Odd walk, hind legs short?",,,
14-Aug,2M,R,Pm,5645,5805,F,A,,NB,,,,
14-Aug,1S,N,Pm,5780,5795,M,J,15.0,NS,"No hair taken, too wet",,,
14-Aug,1Q,R,Pm,5782,5783,M,J,15.0,NS,,,,
14-Aug,1R,R,Pm,5784,5785,M,J,14.0,NS,,,,
14-Aug,2E,R,Pm,5801,5802,M,J/A,11.0,NS,,,,
14-Aug,2G,R,Mg,5806,5807,M,A,15.0,S,,,,
14-Aug,1M,R,Pm,5808,5809,F,J,11.0,NB,Dead,,,
14-Aug,2C,,Zp,,,,,,,Escapee,,,
14-Aug,2F,R,Ml,,,M,A,18.5,NS,,,,
14-Aug,1C,N,Zp,,,F,J,11.0,NB,Hair,,,
14-Aug,1F,R,Zp,,,F,A,33.0,P,,,,
14-Aug,1H,N,Zp,,,F,A,31.0,P/L,Hair,,,
21-Aug,1H,R,Pm,3987,5201,F,A,17.0,NB,,,,
21-Aug,1B,R,Pm,5417,,M,A,20.0,S,,,,
21-Aug,2B,R,Pm,5533,,F,J,14.0,NB,Lost 5509,,,
21-Aug,1M,R,Pm,5803,5804,F,J,12.0,NB,lil f'er bit me!,,,
21-Aug,2J,N,Pm,5848,5849,F,J,14.0,NB,Hair,,,
21-Aug,1A,N,Pm,5992,,M,J,12.5,NS,one tag added,,,
21-Aug,2K,N,Pm,DWM9930,,F,J/A,16.0,NB,Hair,,,
21-Aug,1D,N,Pm,,,,J,,,escaped,,,
21-Aug,1F,R,Zp,,,F,A,37.0,P,super massive biatch!,,,
21-Aug,2C,R,Ta,,,M,A,49.5,S,,,,
21-Aug,2I,R,Ta,,,M,A,49.0,S,,,,
24-Aug,2I,R,Pm,3987,5201,F,A,15.5,NB,,,,
24-Aug,2D,R,Pm,5417,,M,A,19.0,S,,,,
24-Aug,2E,R,Pm,5533,,F,A,13.5,NB,,,,
24-Aug,1M,R,Pm,5742,5743,M,J,15.0,NS,,,,
24-Aug,1P,R,Pm,5784,5785,M,A,14.0,NS,"Almost dead, odd cut on back",,,
24-Aug,2J,R,Pm,5803,5804,F,J,11.0,NB,,,,
24-Aug,2K,N,Pm,5886,,M,A,16.0,NS,Hair,,,
24-Aug,2C,R,Mg,5891,,M,A,15.5,S,New tag,,,
24-Aug,1A,N,Pm,5991,,F,J,6.0,NB,Hair,,,
24-Aug,1B,R,Pm,5992,,M,J,13.0,NS,,,,
24-Aug,1E,N,Pm,DWM9949,,F,J,12.5,NB,Hair,,,
24-Aug,1J,N,Pm,DWM9950,,M,J,15.0,NS,"Yellow colouration on chest, hair",,,
24-Aug,1C,N,Zp,,,F,A,35.0,P/L,,,,
24-Aug,1D,R,Zp,,,F,A,36.0,P,,,,
24-Aug,1L,R,Pm,,,,J,,,Escapee,,,
24-Aug,2B,R,Ta,,,M,A,52.0,NS,,,,
24-Aug,2G,,Zp,,,,,,,Escapee,,,
28-Aug,2B,R,Pm,202,DWM9949,F,J,13.0,NB,One new tag - 202,,,
28-Aug,2C,R,Pm,203,5417,M,A,19.5,S,One new tag - 203,,,
28-Aug,2D,R,Pm,204,5533,F,A,10.5,NB,One new tag - 204,,,
28-Aug,2J,R,Pm,206,5849,F,A,14.0,NB,"New tag (206), lost 5848",,,
28-Aug,1H,R,Pm,3987,5201,F,A,17.0,NB,,,,
28-Aug,1O,R,Pm,5782,5783,M,J/A,14.0,NS,Turning Brown,,,
28-Aug,2E,R,Zp,,,F,A,33.0,NB,,,,
28-Aug,2I,R,Zp,,,F,A,31.5,NB,,,,
28-Aug,2K,R,Pm,,,,,,,Escapee,,,
28-Aug,1B,N,Ta,,,F,A,48.0,NB,Hair ,,,
28-Aug,1C,R,Zp,,,M,A,35.0,NS,Crazy!,,,
28-Aug,1E,R,Pm,,,,A,,,Escaped,,,
1-Sep,2B,R,Pm,203,,M,A,17.0,S,,,,
1-Sep,2C,R,Pm,204,5533,F,J,13.0,NB,,,,
1-Sep,2E,R,Ta,,,F,J,60+,NB,,,,
1-Sep,2I,N,Pm,5861,5864,F,J/A,15.5,NB,hair,,,
1-Sep,2J,N,Ta,,,M,J,51.0,NS,hair,,,
1-Sep,2K,R,Pm,206,,F,A,14.5,NB,,,,
1-Sep,2M,R,Pm,5863,5952,F,A,18.0,B,new moult,,,
1-Sep,1B,R,Pm,5992,,M,A,11.0,NS,,,,
1-Sep,1C,N,Pm,5887,5989,F,A,13.0,NB,hair,,,
1-Sep,1G,R,Pm,3987,5201,F,A,20.0,NB,,,,
1-Sep,1J,R,Zp,,,,A,,,Escaped,,,
1-Sep,1O,R,Pm,5803,5804,F,J/A,10.0,NB,,,,
2-Sep,1B,R,Pm,5992,,M,A,16.0,NS,,,,
2-Sep,1H,N,Pm,5868,5988,F,J,13.0,NB,hair,,,
2-Sep,1S,R,Pm,5707,,F,A,13.0,NB,lost 5706,,,
2-Sep,2B,R,Ta,,,F,A,45.0,NB,,,,
2-Sep,2C,R,Pm,5887,5989,F,J/A,11.5,NB,,,,
2-Sep,2E,R,Zp,,,F,J/A,25.0,NB,,,,
2-Sep,2F,R,Zp,,,F,A,?,P,forgot to weigh ,,,
2-Sep,2J,R,Ta,,,M,A,49.5,NS,,,,
2-Sep,2K,R,Pm,5863,5952,F,A,18.0,L,,,,
2-Sep,1E,R,Pm,3987,5201,F,A,19.0,NB,,,,
2-Sep,1O,R,Pm,5782,5783,M,J,15.0,NS,Very cold and wobbly,,,
2-Sep,2M,N,Pm,299,300,M,J,14.0,NS,hair,,,
