Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks,,,
8-Jun,1R,R,Pm,3986,,M,A,21.5,S,"Ear ripped badly, no retag",,,
8-Jun,2H,R,Pm,3987,3988,F,A,24.0,P,,,,
8-Jun,1M,R,Mg,5091,5092,M,A,19.0,S,,,,
8-Jun,2B,N,Pm,5204,5211,F,A,15.0,NB,Hypothermic - hair taken,,,
8-Jun,2G,R,Pm,5212,5214,M,A,22.0,S,,,,
8-Jun,1T,R,Pm,5251,5252,M,A,18.5,S,,,,
8-Jun,2C,R,Pm,5264,,M,A,18.0,S,Only 1 tag,,,
8-Jun,1N,R,Mg,5288,5289,F,A,23.0,NB,,,,
10-Jun,1N,R,Pm,3914,DWM 9967,F,A,17.5,NB,,,,
10-Jun,1H,R,Pm,3987,3988,F,A,24.5,P,Huge!,,,
10-Jun,2H,R,Mg,5063,5091,M,A,14.5,S,"one tag missing, added 5063",,,
10-Jun,2J,R,Mg,5074,,M,A,19.0,NS,Dead,,,
10-Jun,2G,R,Pm,5212,5214,M,A,23.0,S,,,,
10-Jun,1T,R,Pm,5251,5252,M,A,21.0,S,,,,
10-Jun,1E,R,Pm,5264,5500,M,A,18.0,NS,"One tag missing, added 5500",,,
10-Jun,2M,R,Mg,5321,,M,A,15.5,NS,"ID'd as F/A/NB, only one good ear (not retagged)",,,
10-Jun,1O,N,Mg,5354,5355,F,A,18.0,NB,"Injured on back, did not take hair",,,
10-Jun,1S,R,Ta,,,M,A,60+,S,,,,
10-Jun,2A,R,Ta,,,M,A,41.0,S,,,,
10-Jun,2I,R,Ta,,,M,A,43.5,S,,,,
10-Jun,2L,R,Ta,,,F,A,43.0,NB,Dead,,,
15-Jun,1R,R,Pm,3914,DWM 9967,F,A,21.0,B,"light coloured coat, no sign of hair taken",,,
15-Jun,2D,R,Pm,3986,5085,M,A,22.0,S,"Only one tag, 5085 = new",,,
15-Jun,2I,R,Pm,3987,3988,F,A,19.0,NB,,,,
15-Jun,2J,R,Mg,5063,5084,M,A,20.0,S,"Lost 5091, retagged with 5084",,,
15-Jun,2K,R,Mg,5083,5321,M,A,18.0,NS,"Only one tag, 5083 = new",,,
15-Jun,1I,R,Pm,5212,5214,M,A,21.5,S,,,,
15-Jun,2A,R,Pm,5264,5500,M,A,19.0,S,,,,
15-Jun,1N,R,Mg,5288,5289,F,A,32.0,P/L,nipples showing,,,
15-Jun,2B,R,Ta,,,M,A,60+,NS,,,,
15-Jun,2F,R,Ta,,,F,A,60+,NB,,,,
15-Jun,2G,R,Ta,,,M,A,48.0,S,,,,
15-Jun,2L,R,Ta,,,,,60+,,escaped!,,,
15-Jun,1E,N,Zp,,,M,A,25.0,S,,,,
15-Jun,1F,N,Zp,,,F,A,23.5,NB,,,,
17-Jun,1S,R,Pm,3914,9967,F,A,20.0,NB,,,,
17-Jun,2C,R,Pm,3986,5085,M,A,23.0,S,,,,
17-Jun,2I,R,Pm,3987,3988,F,A,15.5,NB,,,,
17-Jun,2J,R,Mg,5063,5084,M,A,20.5,S,,,,
17-Jun,2K,R,Pm,5212,5214,M,A,26.5,S,,,,
17-Jun,2A,R,Pm,5278,,M,A,17.0,S,"Ears not very good, only one ear retagged with 5278",,,
17-Jun,1R,N,Pm,5356,5499,M,A,20.0,NS,Hair taken,,,
17-Jun,2L,N,Mg,5358,5359,F,A,20.0,NB,,,,
17-Jun,1O,R,Ta,,,M,A,60+,NS,,,,
17-Jun,2H,R,Ta,,,M,A,60+,NS,,,,
22-Jun,1T,R,Pm,3986,5085,M,A,23.0,S,,,,
22-Jun,2F,R,Pm,3987,,F,A,21.0,P/B,"One ear badly ripped, didn't add new tag",,,
22-Jun,1Q,R,Pm,5035,DWM 9967,F,A,25.0,P/B,"Lost 3914, retagged with 5035",,,
22-Jun,1M,R,Mg,5063,,M,A,21.5,NS,Tick on back of head,,,
22-Jun,2M,R,Pm,5212,,M,A,23.0,S,"One ear badly ripped, didn't add new tag",,,
22-Jun,2B,N,Pm,5226,5227,M,A,21.5,S,Forgot to take hair,,,
22-Jun,2L,N,Mg,5228,5229,M,A,21.0,S,Got hair,,,
22-Jun,1B,R,Pm,5278,,M,A,18.5,S,"Cut under eye, only one tag",,,
22-Jun,2C,R,Ta,,,M,A,46.5,S,,,,
22-Jun,1O,-,Zp,,,,,,,Escaped,,,
24-Jun,2H,R,Pm,3987,5201,F,A,20.0,B,"capulatory plug, retagged with 5201",,,
24-Jun,1S,R,Pm,5035,DWM 9967,F,A,26.0,P/B,,,,
24-Jun,2J,R,Mg,5063,,M,A,20.0,S,other ear ripped,,,
24-Jun,1O,R,Pm,3986,5085,M,A,22.0,S,,,,
24-Jun,2L,R,Pm,5212,,M,A,23.5,S,"only one tag, bad ear",,,
24-Jun,2M,R,Mg,5228,5229,M,A,24.0,S,,,,
24-Jun,2D,R,Pm,5278,,M,A,20.0,S,"only one tag, bad ear",,,
24-Jun,1Q,R,Pm,5356,5499,M,A,21.0,S,,,,
24-Jun,1F,R,Ta,,,M,A,60+,NS,,,,
24-Jun,2G,R,Ta,,,?,?,?,?,escaped,,,
24-Jun,2K,R,Ta,,,M,A,48.0,S,,,,
24-Jun,1B,R,Ta,,,M,A,60+,NS,,,,
24-Jun,1C,R,Zp,,,M,A,26.5,S,,,,
24-Jun,1B,N,Zp,,,F,A,25.0,NB,white hair on head,,,
24-Jun,1M,R,Zp,,,F,A,28.5,NB,,,,
24-Jun,1N,R,Zp,,,F,A,24.5,NB,,,,
29-Jun,2D,R,Pm,3986,5085,M,A,21.0,S,Squirmy,,,
29-Jun,2I,R,Pm,3987,5201,F,A,19.0,L,,,,
29-Jun,2L,R,Pm,5035,DWM 9967,F,A,20.0,P/B,,,,
29-Jun,2K,R,Pm,5212,5621,M,A,23.0,S,"Added 5621, lost 5214",,,
29-Jun,2B,R,Pm,5278,5620,M,A,15.0,S,Added 5620. Weight off,,,
